date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:39:12	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f070668-4d7%22	https://revolution.themepunch.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/stark-agency/revolution.themepunch.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://revolution.themepunch.com/stark-agency-website-template/)
13:39:12	45229/45229	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Apr%202020%2009:39:49%20GMT	https://revolution.themepunch.com/wp-content/cache/caos-analytics/analytics.js	C:/My%20Web%20Sites/stark-agency/revolution.themepunch.com/wp-content/cache/caos-analytics/analytics.js	(from https://revolution.themepunch.com/stark-agency-website-template/)
13:39:13	382/382	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Jul%202020%2008:09:13%20GMT	http://revolution.themepunch.com/wp-content/cache/min/1/ce003550df93979bf215ec204b8c19e5.js	C:/My%20Web%20Sites/stark-agency/revolution.themepunch.com/wp-content/cache/min/1/ce003550df93979bf215ec204b8c19e5.js	(from https://revolution.themepunch.com/stark-agency-website-template/)
13:39:14	470071/470071	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2014%20Jul%202020%2006:49:38%20GMT	https://revolution.themepunch.com/wp-content/cache/min/1/ce003550df93979bf215ec204b8c19e5.js	C:/My%20Web%20Sites/stark-agency/revolution.themepunch.com/wp-content/cache/min/1/ce003550df93979bf215ec204b8c19e5.js	(from https://revolution.themepunch.com/stark-agency-website-template/)
13:39:14	885/885	---M--	200	added ('OK')	image/gif	date:Mon,%2026%20Aug%202019%2009:37:25%20GMT	https://revolution.themepunch.com/wp-content/plugins/essential-grid/public/assets/images/ajax-loader.gif	C:/My%20Web%20Sites/stark-agency/revolution.themepunch.com/wp-content/plugins/essential-grid/public/assets/images/ajax-loader.gif	(from https://revolution.themepunch.com/wp-content/cache/min/1/3cfedffa25316de2f0c7e39557f0041b.css)
13:39:15	2545/2545	---M--	200	added ('OK')	image/gif	date:Mon,%2026%20Aug%202019%2009:37:25%20GMT	https://revolution.themepunch.com/wp-content/plugins/essential-grid/public/assets/images/loader.gif	C:/My%20Web%20Sites/stark-agency/revolution.themepunch.com/wp-content/plugins/essential-grid/public/assets/images/loader.gif	(from https://revolution.themepunch.com/wp-content/cache/min/1/3cfedffa25316de2f0c7e39557f0041b.css)
13:39:16	70/70	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202019%2014:50:25%20GMT	https://revolution.themepunch.com/wp-content/plugins/revslider/public/assets/assets/gridtile.png	C:/My%20Web%20Sites/stark-agency/revolution.themepunch.com/wp-content/plugins/revslider/public/assets/assets/gridtile.png	(from https://revolution.themepunch.com/wp-content/cache/min/1/3cfedffa25316de2f0c7e39557f0041b.css)
13:39:16	70/70	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202019%2014:50:25%20GMT	https://revolution.themepunch.com/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	C:/My%20Web%20Sites/stark-agency/revolution.themepunch.com/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	(from https://revolution.themepunch.com/wp-content/cache/min/1/3cfedffa25316de2f0c7e39557f0041b.css)
13:39:17	70/70	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202019%2014:50:25%20GMT	https://revolution.themepunch.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	C:/My%20Web%20Sites/stark-agency/revolution.themepunch.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	(from https://revolution.themepunch.com/wp-content/cache/min/1/3cfedffa25316de2f0c7e39557f0041b.css)
13:39:17	71/71	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202019%2014:50:25%20GMT	https://revolution.themepunch.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	C:/My%20Web%20Sites/stark-agency/revolution.themepunch.com/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	(from https://revolution.themepunch.com/wp-content/cache/min/1/3cfedffa25316de2f0c7e39557f0041b.css)
13:39:18	90/90	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202019%2014:50:25%20GMT	https://revolution.themepunch.com/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	C:/My%20Web%20Sites/stark-agency/revolution.themepunch.com/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	(from https://revolution.themepunch.com/wp-content/cache/min/1/3cfedffa25316de2f0c7e39557f0041b.css)
13:39:18	2093/2093	---M--	200	added ('OK')	image/gif	date:Wed,%2013%20Nov%202019%2014:50:25%20GMT	https://revolution.themepunch.com/wp-content/plugins/revslider/public/assets/assets/loader.gif	C:/My%20Web%20Sites/stark-agency/revolution.themepunch.com/wp-content/plugins/revslider/public/assets/assets/loader.gif	(from https://revolution.themepunch.com/wp-content/cache/min/1/3cfedffa25316de2f0c7e39557f0041b.css)
13:39:19	5053/5053	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Jul%202019%2009:17:42%20GMT	https://revolution.themepunch.com/wp-content/uploads/2019/03/revslider_logo.png	C:/My%20Web%20Sites/stark-agency/revolution.themepunch.com/wp-content/uploads/2019/03/revslider_logo.png	(from https://revolution.themepunch.com/wp-content/cache/min/1/3cfedffa25316de2f0c7e39557f0041b.css)
13:39:19	410/410	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Jul%202019%2009:26:50%20GMT	https://revolution.themepunch.com/wp-content/uploads/2019/03/revslider_close.png	C:/My%20Web%20Sites/stark-agency/revolution.themepunch.com/wp-content/uploads/2019/03/revslider_close.png	(from https://revolution.themepunch.com/wp-content/cache/min/1/3cfedffa25316de2f0c7e39557f0041b.css)
13:39:19	195/195	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Jul%202019%2009:17:42%20GMT	https://revolution.themepunch.com/wp-content/uploads/2019/03/revslider_arrow.png	C:/My%20Web%20Sites/stark-agency/revolution.themepunch.com/wp-content/uploads/2019/03/revslider_arrow.png	(from https://revolution.themepunch.com/wp-content/cache/min/1/3cfedffa25316de2f0c7e39557f0041b.css)
